Fecha;Hora;P;Q
2017-04-02;3:15;0;16,5943411
2017-04-02;3:20;0;16,52759051
2017-04-02;3:25;0;16,6229251
2017-04-02;3:30;0;16,61608557
2017-04-02;3:35;0;16,55974445
2017-04-02;3:40;0;16,57859234
2017-04-02;3:45;0;16,64981873
2017-04-02;3:50;0;16,51837409
2017-04-02;3:55;0;16,66514066
2017-04-02;4:00;0;16,67759078
2017-04-02;4:05;0;16,41891173
2017-04-02;4:10;0;16,47597833
2017-04-02;4:15;0;16,48556466
2017-04-02;4:20;0;16,45611363
2017-04-02;4:25;0;16,53725948
2017-04-02;4:30;0;16,41581969
2017-04-02;4:35;0;16,59495157
2017-04-02;4:40;0;16,35610715
2017-04-02;4:45;0;16,46569319
2017-04-02;4:50;0;16,39284324
2017-04-02;4:55;0;16,35372129
2017-04-02;5:00;0;16,37227285
2017-04-02;5:05;0;16,45935463
2017-04-02;5:10;0;16,38567688
2017-04-02;5:15;0;16,37281382
2017-04-02;5:20;0;16,51132045
2017-04-02;5:25;0;16,52967188
2017-04-02;5:30;0;16,41875271
2017-04-02;5:35;0;16,51751114
2017-04-02;5:40;0;16,52301445
2017-04-02;5:45;0;16,60473843
2017-04-02;5:50;0;16,46824789
2017-04-02;5:55;0;16,43967553
2017-04-02;6:00;0;16,3772214
2017-04-02;6:05;0;16,30129868
2017-04-02;6:10;0;16,39625053
2017-04-02;6:15;0;16,4010297
2017-04-02;6:20;0;16,41637622
2017-04-02;6:25;0;16,44269061
2017-04-02;6:30;0;16,37876524
2017-04-02;6:35;0;16,4099045
2017-04-02;6:40;0;16,54595252
2017-04-02;6:45;0;16,36297787
2017-04-02;6:50;0;16,33773954
2017-04-02;6:55;0;16,3477399
2017-04-02;7:00;0;16,18081327
2017-04-02;7:05;0;16,45946371
2017-04-02;7:10;0;16,13343474
2017-04-02;7:15;0;16,1860141
2017-04-02;7:20;0;16,27835172
2017-04-02;7:25;0;16,1089401
2017-04-02;7:30;0;16,20851946
2017-04-02;7:35;0;16,24038779
2017-04-02;7:40;0;16,08972849
2017-04-02;7:45;0;16,02326267
2017-04-02;7:50;0;15,88732652
2017-04-02;7:55;0;15,90193624
2017-04-02;8:00;0;15,93564422
2017-04-02;8:05;0;16,02189528
2017-04-02;8:10;0;15,94891616
2017-04-02;8:15;0;16,00183356
2017-04-02;8:20;0;15,95112538
2017-04-02;8:25;0;15,83608132
2017-04-02;8:30;0;15,9251962
2017-04-02;8:35;0;15,7737661
2017-04-02;8:40;0;15,85708314
2017-04-02;8:45;0;15,66465238
2017-04-02;8:50;0;15,7373198
2017-04-02;8:55;0;15,62431121
2017-04-02;9:00;0;15,8676753
2017-04-02;9:05;0;15,82732599
2017-04-02;9:10;0;15,64620201
2017-04-02;9:15;0;15,75614336
2017-04-02;9:20;0;15,67163257
2017-04-02;9:25;0;15,73122436
2017-04-02;9:30;0;15,63524722
2017-04-02;9:35;0;15,60595154
2017-04-02;9:40;0;15,76381739
2017-04-02;9:45;0;15,63606861
2017-04-02;9:50;0;15,72693368
2017-04-02;9:55;0;15,70881352
2017-04-02;10:00;0;15,63794329
2017-04-02;10:05;0;15,4723165
2017-04-02;10:10;0;15,75530394
2017-04-02;10:15;0;15,6336675
2017-04-02;10:20;0;15,55836105
2017-04-02;10:25;0;15,5212349
2017-04-02;10:30;0;15,61859893
2017-04-02;10:35;0;15,54572795
2017-04-02;10:40;0;15,57450922
2017-04-02;10:45;0;15,5944103
2017-04-02;10:50;0;15,61237601
2017-04-02;10:55;0;15,55244604
2017-04-02;11:00;0;15,61581333
2017-04-02;11:05;0;15,57621112
2017-04-02;11:10;0;15,56962694
2017-04-02;11:15;0;15,57837576
2017-04-02;11:20;0;15,72200918
2017-04-02;11:25;0;15,64082859
2017-04-02;11:30;0;15,59325306
2017-04-02;11:35;0;15,55413228
2017-04-02;11:40;0;15,59212441
2017-04-02;11:45;0;15,70274469
2017-04-02;11:50;0;15,56877908
2017-04-02;11:55;0;15,56922729
2017-04-02;12:00;0;15,41971253
2017-04-02;12:05;0;15,5894187
2017-04-02;12:10;0;15,543355
2017-04-02;12:15;0;15,54888289
2017-04-02;12:20;0;15,55941701
2017-04-02;12:25;0;15,59180157
2017-04-02;12:30;0;15,66096826
2017-04-02;12:35;0;15,58131748
2017-04-02;12:40;0;15,68453478
2017-04-02;12:45;0;15,64813191
2017-04-02;12:50;0;15,51204916
2017-04-02;12:55;0;15,58946731
2017-04-02;13:00;0;15,53287572
2017-04-02;13:05;0;15,58243141
2017-04-02;13:10;0;15,6394232
2017-04-02;13:15;0;15,64151568
2017-04-02;13:20;0;15,72577653
2017-04-02;13:25;0;15,73728259
2017-04-02;13:30;0;15,68165059
2017-04-02;13:35;0;15,57410103
2017-04-02;13:40;0;15,7527773
2017-04-02;13:45;0;15,64089739
2017-04-02;13:50;0;15,75570369
2017-04-02;13:55;0;15,72386702
2017-04-02;14:00;0;15,81343937
2017-04-02;14:05;0;15,74552888
2017-04-02;14:10;0;15,74168703
2017-04-02;14:15;0;15,70610764
2017-04-02;14:20;0;15,70309485
2017-04-02;14:25;0;15,61178429
2017-04-02;14:30;0;15,49952072
2017-04-02;14:35;0;15,49153791
2017-04-02;14:40;0;15,65509932
2017-04-02;14:45;0;15,58339695
2017-04-02;14:50;0;15,65494467
2017-04-02;14:55;0;15,56200566
2017-04-02;15:00;0;15,56962427
2017-04-02;15:05;0;15,6926933
2017-04-02;15:10;0;15,718168
2017-04-02;15:15;0;15,80357402
2017-04-02;15:20;0;15,73012171
2017-04-02;15:25;0;15,81790527
2017-04-02;15:30;0;15,7571412
2017-04-02;15:35;0;15,84320151
2017-04-02;15:40;0;15,78049582
2017-04-02;15:45;0;15,95728814
2017-04-02;15:50;0;15,87403863
2017-04-02;15:55;0;15,85521072
2017-04-02;16:00;0;15,91059159
2017-04-02;16:05;0;15,93066446
2017-04-02;16:10;0;15,87100705
2017-04-02;16:15;0;16,11682509
2017-04-02;16:20;0;16,0320989
2017-04-02;16:25;0;15,94832288
2017-04-02;16:30;0;15,8910507
2017-04-02;16:35;0;16,04839032
2017-04-02;16:40;0;16,02107978
2017-04-02;16:45;0;16,16020961
2017-04-02;16:50;0;16,00284047
2017-04-02;16:55;0;16,03371655
2017-04-02;17:00;0;15,97064885
2017-04-02;17:05;0;15,99662127
